Name,Wealth
Elon Musk,245700000000
Bernard Arnault & family,197400000000
Jeff Bezos,167900000000
Larry Ellison,145200000000
Warren Buffett,119700000000
One Billion Dollars,1000000000
Top One Percent,11100000
